Repositorio/Año,Mes,Categoría,Nombre del archivo,Ruta completa,Tamaño del archivo (bytes),Palabras clave detectadas
2015,Abril,Créditos,SQLQueryConsolidado_x_tipo_credito.sql,Abril2015/Consolidado_x_Tipo_Credito/SQLQueryConsolidado_x_tipo_credito.sql,5060,cred
2015,Abril,Clientes,SQLQuery_Dario.sql,Abril2015/Clientes RCC/SQLQuery_Dario.sql,961,"cli, rcc"
2015,Abril,Clientes,SQLQueryClientesRCC.sql,Abril2015/Clientes RCC/SQLQueryClientesRCC.sql,4404,"cli, rcc"
2015,Abril,Clientes,SQLQueryClientesCajaRCC_v01.sql,Abril2015/Clientes RCC/SQLQueryClientesCajaRCC_v01.sql,16027,"cli, rcc"
2015,Abril,Clientes,SQLQueryClientesCajaRCC_v03.sql,Abril2015/Clientes RCC/SQLQueryClientesCajaRCC_v03.sql,6214,"cli, rcc"
2015,Abril,Clientes,SQLQueryClientesCajaRCC_v02.sql,Abril2015/Clientes RCC/SQLQueryClientesCajaRCC_v02.sql,4665,"cli, rcc"
2015,Abril,Clientes,SQLQueryClientesCajaRCC.sql,Abril2015/Clientes RCC/SQLQueryClientesCajaRCC.sql,369,"cli, rcc"
2015,Abril,Clientes,SQLQueryClientesSoloCHYO.sql,Abril2015/Clientes RCC/SQLQueryClientesSoloCHYO.sql,13422,"cli, rcc"
2015,Abril,Clientes,SQLQueryTotalClientesCaja_v01.sql,Abril2015/Clientes RCC/SQLQueryTotalClientesCaja_v01.sql,2500,"cli, rcc"
2015,Abril,Clientes,SQLQueryClientesCajaRCC_v02_Det.sql,Abril2015/Clientes RCC/SQLQueryClientesCajaRCC_v02_Det.sql,12177,"cli, rcc"
2015,Abril,Clientes,SQLQueryTotalClie_OnLine.sql,Abril2015/TotaldeClientes/SQLQueryTotalClie_OnLine.sql,1553,cli
2015,Abril,Clientes,SQLQueryTotalClientesCaja_v01.sql,Abril2015/TotaldeClientes/SQLQueryTotalClientesCaja_v01.sql,1444,cli
2015,Abril,Clientes,SQLQueryClienteDesertores_V01.sql,Abril2015/ClientesDesertores/SQLQueryClienteDesertores_V01.sql,36838,cli
2015,Abril,Clientes,SQLQueryCliDes_CreCursor.sql,Abril2015/ClientesDesertores/SQLQueryCliDes_CreCursor.sql,120,cli
2015,Abril,Clientes,SQLQueryCliDesertores.sql,Abril2015/ClientesDesertores/SQLQueryCliDesertores.sql,9666,cli
2015,Abril,Clientes,SQLQueryAgenciasxZona.sql,Abril2015/ClientesDesertores/SQLQueryAgenciasxZona.sql,1332,"cli, zona"
2015,Abril,Clientes,SQLQuery_PlandPagos.sql,Abril2015/ClientesDesertores/SQLQuery_PlandPagos.sql,721,cli
2015,Abril,Clientes,SQLQueryBorradorCliDese.sql,Abril2015/ClientesDesertores/SQLQueryBorradorCliDese.sql,590,cli
2015,Abril,Clientes,SQLQueryClienteDesertores.sql,Abril2015/ClientesDesertores/SQLQueryClienteDesertores.sql,6115,cli
2015,Abril,Clientes,SQLQueryClienteDesertores_V02.sql,Abril2015/ClientesDesertores/SQLQueryClienteDesertores_V02.sql,39931,cli
2015,Abril,Clientes,SQLQueryClienteDesertores_V02_Det.sql,Abril2015/ClientesDesertores/SQLQueryClienteDesertores_V02_Det.sql,4614,cli
2015,Marzo,Otros,SQLQueryAnalistasEstado.sql,Marzo2015/Carlos/SQLQueryAnalistasEstado.sql,1537,
2015,Marzo,Clientes,SQLQuery_ClientesNuevos.sql,Marzo2015/ClientesNuevos/SQLQuery_ClientesNuevos.sql,6480,cli
2015,Mayo,Otros,SQLQuerygp.sql,Mayo2015/CarlosPuris/SQLQuerygp.sql,2239,
2015,Mayo,Otros,SQLQueryConve_Canc_Huacho.sql,Mayo2015/Convenios_Cancelados_Huacho/SQLQueryConve_Canc_Huacho.sql,7034,
2015,Mayo,Otros,SQLQueryLista.sql,Mayo2015/ListaCarlitos22/SQLQueryLista.sql,2252,
2015,Mayo,Créditos,SQLQueryCred_Desem_Excep_SraEli.sql,Mayo2015/Bellisa_Excepciones/SQLQueryCred_Desem_Excep_SraEli.sql,9252,cred
2015,Mayo,Créditos,SQLQueryCred_Desem_Excep_Belissa.sql,Mayo2015/Bellisa_Excepciones/SQLQueryCred_Desem_Excep_Belissa.sql,10900,cred
2015,Mayo,Créditos,SQLQueryCred_Desem_Excep_original.sql,Mayo2015/Bellisa_Excepciones/SQLQueryCred_Desem_Excep_original.sql,9123,cred
2015,Mayo,Reportes SBS,SQLQuerycali.sql,Mayo2015/LemurSBS/SQLQuerycali.sql,12549,sbs
2015,Mayo,Reportes SBS,SQLQuery15.sql,Mayo2015/LemurSBS/15Clientes/SQLQuery15.sql,15118,"sbs, cli"
2015,Mayo,Clientes,SQLQueryGestCliDeserGPP.sql,Mayo2015/Gest_Desertores_GPP/SQLQueryGestCliDeserGPP.sql,4694,cli
2015,Mayo,Clientes,SQLQueryClientes.sql,Mayo2015/ClientesExclusivos/SQLQueryClientes.sql,251,cli
2015,Mayo,Clientes,SQLQueryCliExcValidando.sql,Mayo2015/ClientesExclusivos/SQLQueryCliExcValidando.sql,433,cli
2015,Mayo,Clientes,SQLQueryClientesExclusivosNoExclusivos.sql,Mayo2015/ClientesExclusivos/SQLQueryClientesExclusivosNoExclusivos.sql,122657,cli
2015,Mayo,Clientes,SQLQueryResultado.sql,Mayo2015/ClientesExclusivos/SQLQueryResultado.sql,7396,cli
2015,Mayo,Análisis Geográfico,SQLQueryZonaAgencia.sql,Mayo2015/ZonasAgencias/SQLQueryZonaAgencia.sql,1444,zona
2015,Mayo,Reportes SBS,SQLQueryReqSBS.sql,Mayo2015/ReqSBS_WS_JZ/SQLQueryReqSBS.sql,4631,sbs
2015,Mayo,Reportes SBS,SQLQueryReqSBSPromotor.sql,Mayo2015/ReqSBS_WS_JZ/SQLQueryReqSBSPromotor.sql,4392,"sbs, promotor"
2015,Mayo,Otros,SQLQueryMkt.sql,Mayo2015/JoseZuritaMarketing/SQLQueryMkt.sql,5135,
2015,Mayo,Expedientes,SQLQueryExpedientes.sql,Mayo2015/ExpedientesJuanNaupari/SQLQueryExpedientes.sql,1810,exp
2015,Mayo,Créditos,SQLQueryCredRoya.sql,Mayo2015/JuliaLaRoya/SQLQueryCredRoya.sql,7027,cred
2015,Mayo,Garantías,SQLQuerySP.sql,Mayo2015/JZuritaPrendarios/SQLQuerySP.sql,8194,prenda
2015,Mayo,Garantías,SQLQueryJZuritaPrendarios.sql,Mayo2015/JZuritaPrendarios/SQLQueryJZuritaPrendarios.sql,5762,prenda
2015,Mayo,Créditos,SQLQueryHipotecariosDola.sql,Mayo2015/WS_Hipotecarios/SQLQueryHipotecariosDola.sql,4744,hipot
2015,Mayo,Otros,SQLQueryConvenios.sql,Mayo2015/ListaConvenioJoseZurita/SQLQueryConvenios.sql,8323,
2015,Mayo,Morosidad,SQLQueryTramosV01.sql,Mayo2015/TramosVencida/SQLQueryTramosV01.sql,3698,tramo
2015,Mayo,Morosidad,SQLQueryTramos.sql,Mayo2015/TramosVencida/SQLQueryTramos.sql,5914,tramo
2015,Mayo,Créditos,SQLQueryClientesAhorCred.sql,Mayo2015/ClienteCarlitosPuris/SQLQueryClientesAhorCred.sql,7127,"cred, cli"
2015,Mayo,Clientes,SQLQueryDividirRiesgos.sql,Mayo2015/ClienteCarlitosPuris/Dividir/SQLQueryDividirRiesgos.sql,770,"cli, riesgo"
2015,Mayo,Clientes,SQLQueryDividirHist.sql,Mayo2015/ClienteCarlitosPuris/Dividir/SQLQueryDividirHist.sql,209,cli
2015,Mayo,Clientes,SQLQueryGestCliDeserSGN.sql,Mayo2015/Gest_Desertores_SGN/SQLQueryGestCliDeserSGN.sql,4572,cli
2015,Mayo,Clientes,SQLQueryResulDeserSGN.sql,Mayo2015/Gest_Desertores_SGN/ResulDesert/SQLQueryResulDeserSGN.sql,9133,desertor
2015,Mayo,Clientes,SQLQuery2doEnvio.sql,Mayo2015/Gest_Desertores_SGN/2doEnvioJunio/SQLQuery2doEnvio.sql,1358,desertor
2015,Mayo,Clientes,SQLQueryLimpioxAgencias.sql,Mayo2015/Gest_Desertores_SGN/CorrecionRCC_ClientesDesertores/SQLQueryLimpioxAgencias.sql,5677,"cli, rcc, agencia"
2015,Mayo,Clientes,SQLQueryCaliRCCClientesDesertores_CentroOriente.sql,Mayo2015/Gest_Desertores_SGN/CorrecionRCC_ClientesDesertores/SQLQueryCaliRCCClientesDesertores_CentroOriente.sql,3417,"cli, rcc"
2015,Mayo,Clientes,SQLQueryLimpio.sql,Mayo2015/Gest_Desertores_SGN/CorrecionRCC_ClientesDesertores/SQLQueryLimpio.sql,8678,"cli, rcc"
2015,Mayo,Clientes,SQLQueryCaliRCCClientesDesertores_SelvaCentral.sql,Mayo2015/Gest_Desertores_SGN/CorrecionRCC_ClientesDesertores/SQLQueryCaliRCCClientesDesertores_SelvaCentral.sql,3417,"cli, rcc, selva"
2015,Mayo,Clientes,SQLQueryCaliRCCClientesDesertores_LimaSur.sql,Mayo2015/Gest_Desertores_SGN/CorrecionRCC_ClientesDesertores/SQLQueryCaliRCCClientesDesertores_LimaSur.sql,6538,"cli, rcc, sur"
2015,Mayo,Clientes,SQLQueryCaliRCCClientesDesertores_LimaNorte.sql,Mayo2015/Gest_Desertores_SGN/CorrecionRCC_ClientesDesertores/SQLQueryCaliRCCClientesDesertores_LimaNorte.sql,3353,"cli, rcc, norte"
